,f1,f2,f3,f4,f5,f6,Stage
46,0.56792,0.57209,0.28591,0.41925,0.28591,0.032805,1
47,1.3853,2.6994,0.2739,0.28964,0.2739,0.015947,1
48,1.661,2.8208,0.30174,0.22757,0.30174,0.012212,1
49,1.7341,2.831,0.28454,0.30531,0.28454,0.015747,1
50,0.98573,0.79455,0.35138,0.55877,0.35138,0.045281,1
51,0.45096,0.44519,0.22088,0.50596,0.22088,0.029405,1
52,1.4565,3.1451,0.30282,0.28213,0.30282,0.015692,1
53,1.4101,2.6852,0.27555,0.26183,0.27555,0.012941,1
54,1.6446,3.6483,0.31236,0.34751,0.31236,0.017122,1
55,0.60614,0.69673,0.34392,0.60352,0.34392,0.052927,1
56,0.49676,0.43045,0.13127,0.19682,0.13127,0.017566,1
57,1.169,2.1474,0.25736,0.21874,0.25736,0.013979,1
58,1.4786,2.5185,0.31719,0.28113,0.31719,0.014761,1
59,1.2726,2.5043,0.28146,0.28729,0.28146,0.017049,1
60,0.55277,0.65364,0.57262,1.3982,0.57262,0.085774,1
61,0.66192,0.65424,0.16473,0.16821,0.16473,0.01693,1
62,0.74452,0.81224,0.17891,0.17268,0.17891,0.016346,1
63,1.0042,0.96915,0.29001,0.27231,0.29001,0.01647,1
64,1.0611,1.216,0.29147,0.26364,0.29147,0.017817,1
65,1.0619,1.5283,0.27777,0.24166,0.27777,0.018108,1
66,0.83694,0.93042,0.26888,0.22404,0.26888,0.021465,1
67,0.76317,0.67545,0.26186,0.24915,0.26186,0.025363,1
68,0.84677,0.64699,0.29065,0.29154,0.29065,0.017972,1
69,0.80653,0.63843,0.26399,0.26459,0.26399,0.016928,1
70,0.88506,1.0892,0.22636,0.18813,0.22636,0.016795,1
71,0.88872,0.99764,0.34163,0.27414,0.34163,0.034053,1
72,0.69113,0.56294,0.2416,0.21726,0.2416,0.021691,1
73,0.89185,0.65912,0.30058,0.30407,0.30058,0.018998,1
74,0.76129,0.65146,0.23965,0.24064,0.23965,0.017521,1
75,0.81126,0.85218,0.26549,0.22033,0.26549,0.023268,1
76,3.1501,0.95403,0.47295,0.44793,0.47295,0.030897,1
77,2.495,0.81286,0.37895,0.36198,0.37895,0.024273,1
78,1.9412,0.49409,0.26229,0.24395,0.26229,0.014559,1
79,2.6829,0.74614,0.54572,0.59685,0.54572,0.045443,1
80,4.2171,1.1717,0.6132,0.67329,0.6132,0.039307,1
81,3.9992,1.1448,0.54581,0.52418,0.54581,0.033046,1
82,1.6268,0.40706,0.21196,0.21139,0.21196,0.012676,1
83,1.0938,0.33883,0.19972,0.21494,0.19972,0.014893,1
84,3.2294,0.87488,0.85841,1.1132,0.85841,0.086276,1
85,3.9495,1.0073,0.65107,0.70952,0.65107,0.045277,1
86,4.5712,1.3308,0.7168,0.66249,0.7168,0.041964,1
87,2.2121,0.64311,0.32895,0.32262,0.32895,0.020533,1
88,0.79178,0.32209,0.23081,0.4265,0.23081,0.026677,1
89,3.0574,1.0573,0.93401,1.3003,0.93401,0.10283,1
90,3.9903,1.3937,0.78227,0.74386,0.78227,0.052597,1
91,2.1229,0.59052,0.34065,0.29279,0.34065,0.017476,1
92,1.7667,0.59046,0.30414,0.26046,0.30414,0.016542,1
93,0.66838,0.27901,0.15937,0.21551,0.15937,0.014733,1
94,3.4097,1.5172,1.2906,1.1388,1.2906,0.11902,1
95,4.3438,2.0513,0.92809,0.81452,0.92809,0.061723,1
96,1.8493,0.63359,0.34921,0.28463,0.34921,0.018092,1
97,1.9435,0.72472,0.40236,0.34496,0.40236,0.021941,1
98,0.82688,0.35187,0.19711,0.26277,0.19711,0.018217,1
99,3.1598,1.6595,1.478,1.0789,1.478,0.12783,1
100,3.1703,1.6578,1.4145,1.0311,1.4145,0.11834,1
101,2.3204,1.1106,0.49716,0.36884,0.49716,0.027193,1
102,1.3967,0.69199,0.506,0.36971,0.506,0.032647,1
103,1.8851,0.7202,0.41724,0.34342,0.41724,0.021786,1
104,8.3955,1.7098,1.014,0.78417,1.014,0.051381,1
105,0.86451,0.40299,0.27316,0.26669,0.27316,0.01779,1
106,2.2934,1.3858,1.2278,0.78108,1.2278,0.087537,1
107,1.9894,1.1717,0.95214,0.6181,0.95214,0.066357,1
108,2.8808,1.6183,1.5273,1.0789,1.5273,0.11198,1
109,2.6057,1.4939,1.3849,1.0309,1.3849,0.095541,1
110,1.4741,0.75266,0.61835,0.48577,0.61835,0.040867,1
111,1.4884,1.021,1.1336,0.7088,1.1336,0.0879,1
112,1.5902,1.0227,1.0963,0.73429,1.0963,0.089721,1
113,2.7733,1.6346,1.5787,1.1833,1.5787,0.11047,1
114,2.1149,0.41302,0.18739,0.11914,0.18739,0.0050777,1
115,1.9994,0.39952,0.16244,0.0969,0.16244,0.0032892,1
116,1.9359,0.37759,0.1955,0.085654,0.1955,0.0034454,1
117,2.0308,0.48055,0.2122,0.1496,0.2122,0.0064337,1
118,2.9199,0.6869,0.29973,0.21512,0.29973,0.0070724,1
119,3.2781,0.82528,0.31896,0.22169,0.31896,0.0065312,1
120,2.5374,0.6132,0.30997,0.15813,0.30997,0.0056754,1
121,1.799,0.41144,0.22403,0.093923,0.22403,0.0039792,1
122,2.1654,0.527,0.25286,0.22327,0.25286,0.011619,1
123,2.7749,0.67208,0.32882,0.24637,0.32882,0.0073017,1
124,3.3395,0.83532,0.38849,0.27554,0.38849,0.0075279,1
125,2.5462,0.77218,0.42648,0.22825,0.42648,0.0075534,1
126,1.6782,0.52345,0.30567,0.12765,0.30567,0.00545,1
127,2.0289,0.47405,0.2203,0.16664,0.2203,0.007946,1
128,2.9112,0.81242,0.40284,0.34482,0.40284,0.0077743,1
129,2.6858,0.84744,0.46336,0.25648,0.46336,0.0080898,1
130,2.2005,0.77453,0.45681,0.30211,0.45681,0.0075243,1
131,1.5297,0.49335,0.29987,0.13207,0.29987,0.0066856,1
132,2.1609,0.65314,0.2835,0.1849,0.2835,0.0077405,1
133,2.6919,0.78897,0.42362,0.32656,0.42362,0.0082395,1
134,2.5353,0.87805,0.48523,0.26631,0.48523,0.008071,1
135,2.1117,0.83887,0.47834,0.29301,0.47834,0.0082026,1
136,1.6165,0.65902,0.4027,0.20059,0.4027,0.012126,1
137,2.255,0.84889,0.34105,0.18503,0.34105,0.0081202,1
138,2.5144,0.91876,0.41309,0.22934,0.41309,0.0086661,1
139,2.2631,0.91399,0.53558,0.24684,0.53558,0.0084086,1
140,2.3218,0.89459,0.49884,0.24568,0.49884,0.0088208,1
141,1.9706,0.86026,0.43,0.23258,0.43,0.0099069,1
142,2.4607,0.93324,0.42926,0.2845,0.42926,0.012104,1
143,1.6753,0.758,0.3795,0.19625,0.3795,0.014955,1
144,1.873,0.78348,0.43321,0.19775,0.43321,0.011137,1
145,2.0241,0.87754,0.50506,0.21687,0.50506,0.01079,1
146,2.5969,0.94771,0.45559,0.28841,0.45559,0.014747,1
147,2.4471,1.1931,0.50052,0.33342,0.50052,0.020832,1
148,1.8465,1.1127,0.5201,0.31514,0.5201,0.03302,1
149,1.8524,0.75058,0.42154,0.19958,0.42154,0.012335,1
150,1.8686,1.0065,0.54458,0.39411,0.54458,0.041021,1
151,2.1245,1.5224,0.75802,0.69196,0.75802,0.084615,1
152,4.5167,1.5533,0.3424,0.087305,0.3424,2.185e-06,1
153,4.5638,1.6279,0.35589,0.080318,0.35589,1.643e-06,1
154,4.2025,1.434,0.31461,0.087717,0.31461,2.1897e-06,1
